topic_index,label,size,top_terms,representative_texts
30,housing / recovery / program,2287,"[""housing"", ""recovery"", ""program"", ""assistance"", ""disaster"", ""planning"", ""activities"", ""glo"", ""funds"", ""plan"", ""impacted"", ""texas"", ""action"", ""economic"", ""development""]","[""The Subrecipient will replace affordable single-family housing stock by developing new housing in areas of reduced risk of flooding for Low- to Moderate-Income LMI individual households affected by Hurricane Harvey in order to meet the National Objective of benefiting low- to moderate-income persons, thus satisfying the criteria listed in Section 104(b)(3) o"", ""Subrecipient will provide rehabilitation and reconstruction of owner-occupied single family homes for Low- to Moderate-Income (\u201cLMI\u201d) individual households and to meet an Urgent Need created by Hurricane Harvey, in order to meet the dual National Objectives of benefiting low- to moderate-income persons and meeting an urgent need, thus satisfying the criteria"", ""Subrecipient will provide rehabilitation and reconstruction of owner-occupied single family homes for Low- to Moderate-Income (\u201cLMI\u201d) individual households and to meet an Urgent Need created by Hurricane Harvey, in order to meet the dual National Objectives of benefiting low- to moderate-income persons and meeting an urgent need, thus satisfying the criteria"", ""The Subrecipient will provide acquisition, rehabilitation, reconstruction, and new construction of affordable multi-family housing projects, as well as case management services for displaced renter households, for Low- to Moderate-Income (\u201cLMI\u201d) individual households affected by Hurricane Harvey in order to meet the National Objectives of benefiting low- to"", ""Subrecipient will purchase homes from voluntary homeowners damaged by Hurricane Harvey and/or located in areas of severe flood risk and remove the homes, which will assist the homeowners in moving out of harm\u2019s way of future disasters and satisfy the National Objectives of benefiting Low- to Moderate-Income (\u201cLMI\u201d) persons, meeting an urgent need, and preven""]"
21,public / labor hours / labor,2188,"[""public"", ""labor hours"", ""labor"", ""hours"", ""public improvement"", ""total"", ""low mod"", ""mod"", ""improvement"", ""feet public"", ""projected"", ""low"", ""linear"", ""section labor"", ""section""]","[""City of Mission shall install manholes, pipe, and junction box, construct a detention pond including excavation, clearing, hauling, embankments, sloped end treatments, rip rap, fencing, erosion control, and complete associated appurtenances. These activities meets the low to moderate national objective. Total Low Mod Projected Beneficiaries Low/Mod% 1900 255"", ""City of Mission shall install manholes, pipe, and junction box, construct a detention pond including excavation, clearing, hauling, embankments, sloped end treatments, rip rap, fencing, erosion control, and complete associated appurtenances. These activities meets the low to moderate national objective. Total Low Mod Projected Beneficiaries Low/Mod% 1900 255"", ""The City of Port Aransas shall install new storm sewer pipe; replace storm sewer culverts; regrade roadside ditches; install outfall ditches; and complete all associated appurtenances. These activities meets the urgent need national objective. Total Low Mod Projected Beneficiaries Low/Mod% 735 750 # of Persons 3770 39.39 Total Projected Accomplishments # of"", ""The City of Port Aransas shall install new storm sewer pipe; replace storm sewer culverts; regrade roadside ditches; install outfall ditches; and complete all associated appurtenances. These activities meets the urgent need national objective. Total Low Mod Projected Beneficiaries Low/Mod% 735 750 # of Persons 3770 39.39 Total Projected Accomplishments # of"", ""The City of Port Aransas shall install new storm sewer pipe; replace storm sewer culverts; regrade roadside ditches; install outfall ditches; and complete all associated appurtenances. These activities meets the urgent need national objective. Total Low Mod Projected Beneficiaries Low/Mod% 735 750 # of Persons 3770 39.39 Total Projected Accomplishments # of""]"
31,street / shall / avenue,2162,"[""street"", ""shall"", ""avenue"", ""hurricane ike"", ""ike"", ""improvements"", ""address"", ""contractor"", ""contractor shall"", ""caused"", ""drive"", ""function"", ""caused hurricane"", ""hurricane"", ""construction""]","[""Contractor shall overlay existing bridge deck(s), install guard rail and object markers, apply a one and one-half inch (1-1/2 in.) asphalt overlay to streets, and perform site work associated with the construction. Construction shall take place at the following locations: on 9th Street from Front Avenue to Burton Avenue; on 8th Street from Green Avenue to Jo"", ""Contractor shall overlay existing bridge deck(s), install guard rail and object markers, apply a one and one-half inch (1-1/2 in.) asphalt overlay to streets, and perform site work associated with the construction. Construction shall take place at the following locations: on 9th Street from Front Avenue to Burton Avenue; on 8th Street from Green Avenue to Jo"", ""Contractor shall overlay existing bridge deck(s), install guard rail and object markers, apply a one and one-half inch (1-1/2 in.) asphalt overlay to streets, and perform site work associated with the construction. Construction shall take place at the following locations: on 9th Street from Front Avenue to Burton Avenue; on 8th Street from Green Avenue to Jo"", ""Contractor shall overlay existing bridge deck(s), install guard rail and object markers, apply a one and one-half inch (1-1/2 in.) asphalt overlay to streets, and perform site work associated with the construction. Construction shall take place at the following locations: on 9th Street from Front Avenue to Burton Avenue; on 8th Street from Green Avenue to Jo"", ""Contractor shall overlay existing bridge deck(s), install guard rail and object markers, apply a one and one-half inch (1-1/2 in.) asphalt overlay to streets, and perform site work associated with the construction. Construction shall take place at the following locations: on 9th Street from Front Avenue to Burton Avenue; on 8th Street from Green Avenue to Jo""]"
13,county / county shall / activities,1955,"[""county"", ""county shall"", ""activities"", ""harris"", ""harris county"", ""low"", ""complete"", ""public"", ""complete associated"", ""shall"", ""total"", ""project"", ""mod"", ""low mod"", ""appurtenances""]","[""Activities to take place in Harris County at Today?s Harbor for Children - Rebuilding Shelter Facilities - 514 Bayridge Road. Precinct2gether, Inc - Channelview Wellness Pod Complex - 16003 Lorenzo Street. HCPH/Precinct 2 - East Harris County Healthcare and Social Services Hub - 15430 East Freeway. Asian American Health Coalition of Greater Houston Area - HO"", ""Harris County will provide homeowner rehabilitation and reconstruction assistance activities. Assistance will be provided to homeowners located in Harris County and outside the city limits of Houston. These activities will meet low to moderate income national objective. # of Targeted Section 3 Labor Hours # of Section 3 Labor Hours # of Total Labor Hours # o"", ""Harris County will provide homeowner rehabilitation and reconstruction assistance activities. Assistance will be provided to homeowners located in Harris County and outside the city limits of Houston. These activities will meet low to moderate income national objective. # of Targeted Section 3 Labor Hours # of Section 3 Labor Hours # of Total Labor Hours # o"", ""Harris County will provide homeowner rehabilitation and reconstruction assistance activities. Assistance will be provided to homeowners located in Harris County and outside the city limits of Houston. These activities will meet low to moderate income national objective. # of Targeted Section 3 Labor Hours # of Section 3 Labor Hours # of Total Labor Hours # o"", ""Harris County will provide homeowner rehabilitation and reconstruction assistance activities. Assistance will be provided to homeowners located in Harris County and outside the city limits of Houston. These activities will meet low to moderate income national objective. # of Targeted Section 3 Labor Hours # of Section 3 Labor Hours # of Total Labor Hours # o""]"
33,floodplain / flood / county provide,1936,"[""floodplain"", ""flood"", ""county provide"", ""program residential"", ""risk activities"", ""harvey assistance"", ""location reduced"", ""reduced flood"", ""relocate outside"", ""area agree"", ""agree relocate"", ""agree"", ""reside repetitive"", ""reduced"", ""reside""]","[""Montgomery County will provide a buyout program for residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. These activities will meet the urgent need national obje"", ""Montgomery County will provide a buyout program for residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. These activities will meet the urgent need national obje"", ""Montgomery County will provide a buyout program for residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. These activities will meet the urgent need national obje"", ""Montgomery County will provide a buyout program for residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. These activities will meet the urgent need national obje"", ""Montgomery County will provide a buyout program for residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. These activities will meet low to moderate income nation""]"
19,lift / lift station / station,1908,"[""lift"", ""lift station"", ""station"", ""street"", ""station located"", ""located"", ""sewer"", ""avenue"", ""drive"", ""sewer facilities"", ""road"", ""construction"", ""west"", ""street lift"", ""intersection""]","[""Construction shall take place at the following 10 Sewer Facilities: Main Wastewater treatment plant on Procter Street, Main WWTP Secondary Electrical Feed at 6300 Porcter Street; Main Outfall Lift Station on Procter Street, North Plant Lift Station at 7439 Twin City Hwy; 46th Street Lift Station at 4001 46th Street; Lake Charles Lift Station at 1850 Lakeshor"", ""Construction shall take place at the following 10 Sewer Facilities: Main Wastewater treatment plant on Procter Street, Main WWTP Secondary Electrical Feed at 6300 Porcter Street; Main Outfall Lift Station on Procter Street, North Plant Lift Station at 7439 Twin City Hwy; 46th Street Lift Station at 4001 46th Street; Lake Charles Lift Station at 1850 Lakeshor"", ""Construction shall take place at the following 10 Sewer Facilities: Main Wastewater treatment plant on Procter Street, Main WWTP Secondary Electrical Feed at 6300 Porcter Street; Main Outfall Lift Station on Procter Street, North Plant Lift Station at 7439 Twin City Hwy; 46th Street Lift Station at 4001 46th Street; Lake Charles Lift Station at 1850 Lakeshor"", ""Construction shall take place at the following 10 Sewer Facilities: Main Wastewater treatment plant on Procter Street, Main WWTP Secondary Electrical Feed at 6300 Porcter Street; Main Outfall Lift Station on Procter Street, North Plant Lift Station at 7439 Twin City Hwy; 46th Street Lift Station at 4001 46th Street; Lake Charles Lift Station at 1850 Lakeshor"", ""GLO#12-490-000-6665 Contractor shall purchase and install three (3) seventy-five to one hundred seventy-five kilowatt (75 - 175kW) permanently- affixed generators with transfer switches, associated appurtenances, and perform site work associated with construction. Installation of the backup generators will ensure continuous operation of the lift station and""]"
32,detention / drainage / pond,1905,"[""detention"", ""drainage"", ""pond"", ""detention pond"", ""shall"", ""city"", ""complete"", ""associated"", ""complete associated"", ""appurtenances"", ""associated appurtenances"", ""improvements"", ""drainage improvements"", ""construct"", ""appurtenances activities""]","[""Harris County shall construct two stormwater detention ponds and improve existing drainage system, which includes excavation, concrete slope paving, pilot channel, headwall and interceptor structures, and access roads. The drainage system construction shall include, installing reinforced concrete pipes and boxes, junction boxes, manholes, and inlets performi"", ""Harris County at City of Friendswood Forest Bend Detention Pond will construct a new stormwater detention pond with associated site work, conduct excavation and installation of concrete pad and pipes and landscaping lighting, and complete associated appurtenances at the site of the Forest Bend Homeowners Association Park. City of Bellaire Drainage Improvemen"", ""Harris County at City of Friendswood Forest Bend Detention Pond will construct a new stormwater detention pond with associated site work, conduct excavation and installation of concrete pad and pipes and landscaping lighting, and complete associated appurtenances at the site of the Forest Bend Homeowners Association Park. City of Bellaire Drainage Improvemen"", ""Harris County at City of Friendswood Forest Bend Detention Pond will construct a new stormwater detention pond with associated site work, conduct excavation and installation of concrete pad and pipes and landscaping lighting, and complete associated appurtenances at the site of the Forest Bend Homeowners Association Park. City of Bellaire Drainage Improvemen"", ""sidewalk improvements, traffic signals, and bridge expansion, and complete associated site work and appurtenances. City of Deer Park - Bayou Bend Regional Detention Facility and Drainage Improvements construct a new 35 AF detention pond and associated site work, rehabilitate and install approximately 3,600 LF of storm sewer with concrete pipes, grade ditches""]"
7,standards / housing / units,1900,"[""standards"", ""housing"", ""units"", ""codes"", ""rehabilitation"", ""local"", ""rental"", ""subrecipient"", ""new construction"", ""rehabilitated"", ""building"", ""building codes"", ""households"", ""income"", ""rental housing""]","[""Subrecipient will construct three hundred thirty-five (335) multi-family rental housing units, of which fifty one percent (51%) will be of low to moderate income, for eligible applicants within specific site locations. Funds may be used for the rehabilitiation, reconstruction, and new construction of damaged units or to replace bought out rental housing unit"", ""Subrecipient will construct three hundred thirty-five (335) multi-family rental housing units, of which fifty one percent (51%) will be of low to moderate income, for eligible applicants within specific site locations. Funds may be used for the rehabilitiation, reconstruction, and new construction of damaged units or to replace bought out rental housing unit"", ""Subrecipient will construct three hundred thirty-five (335) multi-family rental housing units, of which fifty one percent (51%) will be of low to moderate income, for eligible applicants within specific site locations. Funds may be used for the rehabilitiation, reconstruction, and new construction of damaged units or to replace bought out rental housing unit"", ""Subrecipient will construct three hundred thirty-five (335) multi-family rental housing units, of which fifty one percent (51%) will be of low to moderate income, for eligible applicants within specific site locations. Funds may be used for the rehabilitiation, reconstruction, and new construction of damaged units or to replace bought out rental housing unit"", ""Subrecipient will construct three hundred thirty-five (335) multi-family rental housing units, of which fifty one percent (51%) will be of low to moderate income, for eligible applicants within specific site locations. Funds may be used for the rehabilitiation, reconstruction, and new construction of damaged units or to replace bought out rental housing unit""]"
36,final / drgr / occur final,1893,"[""final"", ""drgr"", ""occur final"", ""occur"", ""pending"", ""expenditures"", ""completion"", ""adjustments"", ""final expenditures"", ""pending adjustments"", ""expenditures completion"", ""completion pending"", ""metrics"", ""final metrics"", ""close""]","[""Construction shall take place at Water Well No. 3 located at the intersection of Martin Luther King Street and West 3rd Street, and at Water Well No. 4 located in the 100 block of Travis Avenue near the intersection of Harlem Street and Travis Avenue in Brazoria County, Texas. The Brazoria County Sweeny MLK and West 3rd water facilities project construction"", ""Construction shall take place at the Water Plant located at 763 Highway 59 in Garrison, Texas. The grantee had its water facilities project construction completed, and DRGR close-out is to occur upon final expenditures, completion of any pending adjustments, and verification of final metrics."", ""Construction shall take place at Yturria Street (near Gomez Street) and Musina Street (between Monroe Street and Harrison Street), in Port Isabel, Texas. The grantee had its flood and drainage project completed, and DRGR close out is to occur upon final expenditures, completion of any pending adjustments, and verification of final metrics."", ""Construction shall take place on County Road 1664 from approximately 2,500 feet west of FM 666 and extending approximately 100 feet to the west, near the Peaceful Valley neighborhood west of San Patricio, Texas. DRGR closeout to occur pending final grantee contract closeout and final staff time project delivery adjustments."", ""Construction shall take place on 13th Avenue, from 29th Street to 21st Street in Texas City, Texas The grantee had its flood and drainage project closed, and DRGR close out is to occur upon final expenditures, completion of any pending adjustments, and verification of final metrics.""]"
26,water / plant / street,1886,"[""water"", ""plant"", ""street"", ""city"", ""project"", ""construction"", ""place"", ""water plant"", ""located"", ""shall place"", ""facilities"", ""water facilities"", ""treatment plant"", ""construction shall"", ""facilities project""]","[""Construction shall take place at the Water treatment plant located at 5634 State Highway 149 and at the elevated storage tank at the water treatment plant located at intersection of Goode and Daniels Street - Beckville, Texas Beckville's Water Facilities project construction underway."", ""Construction shall take place at the Water treatment plant located at 5634 State Highway 149 and at the elevated storage tank at the water treatment plant located at intersection of Goode and Daniels Street - Beckville, Texas The City of Beckville's Water Facilities project had completed construction."", ""Construction shall take place at the Water treatment plant located at 5634 State Highway 149 and at the elevated storage tank at the water treatment plant located at intersection of Goode and Daniels Street - Beckville, Texas During the 4th quarter of 2013, the City of Beckville's Water Facilities project construction underway."", ""Construction shall take place at the Water treatment plant located at 5634 State Highway 149 and at the elevated storage tank at the water treatment plant located at intersection of Goode and Daniels Street - Beckville, Texas During the reporting period a negative expended amount was reported. A reconciliation of draws on the activity along with prior period"", ""Construction shall take place at the 32nd Water Plant at 301 32nd Street North, the 9th Water Plant at 910 9th Street North, the Heights Water Plant at 2400 1st Avenue North, and at the College of Mainland Water Plant located at 1209 North Amburn Road. During the reporting period the Texas City water facilities project was completed in DRGR. During the repor""]"
11,shelter / center / shall,1872,"[""shelter"", ""center"", ""shall"", ""generator"", ""community"", ""community center"", ""contractor shall"", ""contractor"", ""function"", ""shall purchase"", ""emergency"", ""purchase"", ""hurricane ike"", ""purchase install"", ""construction""]","[""Contractor shall construct an approximately nine thousand five hundred square foot (9,500 s.f.) fully functioning ADA compliant emergency shelter/community center. The new facility will include: windows, lights, flooring, ceiling, plumbing, an ADA compliant kitchen, restrooms and showering facilities, HVAC, fire protection, communication, and security system"", ""Contractor shall construct an approximately nine thousand five hundred square foot (9,500 s.f.) fully functioning ADA compliant emergency shelter/community center. The new facility will include: windows, lights, flooring, ceiling, plumbing, an ADA compliant kitchen, restrooms and showering facilities, HVAC, fire protection, communication, and security system"", ""Contractor shall construct an approximately nine thousand five hundred square foot (9,500 s.f.) fully functioning ADA compliant emergency shelter/community center. The new facility will include: windows, lights, flooring, ceiling, plumbing, an ADA compliant kitchen, restrooms and showering facilities, HVAC, fire protection, communication, and security system"", ""Contractor shall construct an approximately nine thousand five hundred square foot (9,500 s.f.) fully functioning ADA compliant emergency shelter/community center. The new facility will include: windows, lights, flooring, ceiling, plumbing, an ADA compliant kitchen, restrooms and showering facilities, HVAC, fire protection, communication, and security system"", ""Contractor shall construct an approximately nine thousand five hundred square foot (9,500 s.f.) fully functioning ADA compliant emergency shelter/community center. The new facility will include: windows, lights, flooring, ceiling, plumbing, an ADA compliant kitchen, restrooms and showering facilities, HVAC, fire protection, communication, and security system""]"
16,lift / lift station / station,1811,"[""lift"", ""lift station"", ""station"", ""generator"", ""station located"", ""shall"", ""located"", ""transfer"", ""switch"", ""transfer switch"", ""purchase install"", ""contractor"", ""purchase"", ""kilowatt"", ""contractor shall""]","[""Contractor shall purchase and install one (1) thirty to sixty kilowatt (30 - 60 kW) permanently-affixed generator and one (1) fifty to eighty kilowatt (50 - 80 kW) permanently-affixed generator with transfer switch, associated appurtenances, and perform site work associated with construction. Installation of the backup generators will ensure continuous opera"", ""Contractor shall purchase and install one (1) thirty to sixty kilowatt (30 - 60 kW) permanently-affixed generator and one (1) fifty to eighty kilowatt (50 - 80 kW) permanently-affixed generator with transfer switch, associated appurtenances, and perform site work associated with construction. Installation of the backup generators will ensure continuous opera"", ""Contractor shall purchase and install one (1) thirty to sixty kilowatt (30 - 60 kW) permanently-affixed generator and one (1) fifty to eighty kilowatt (50 - 80 kW) permanently-affixed generator with transfer switch, associated appurtenances, and perform site work associated with construction. Installation of the backup generators will ensure continuous opera"", ""Contractor shall purchase and install one (1) thirty to sixty kilowatt (30 - 60 kW) permanently-affixed generator and one (1) fifty to eighty kilowatt (50 - 80 kW) permanently-affixed generator with transfer switch, associated appurtenances, and perform site work associated with construction. Installation of the backup generators will ensure continuous opera"", ""Contractor shall purchase and install four (4) twenty to seventy-five kilowatts (20-75 KW) permanently-affixed generators each with transfer switch, pad, associated appurtenances, and perform site work associated with construction. Installation of the backup generators will ensure continuous operation of the lift stations and uninterrupted sewage treatment.""]"
1,water / shall / storage,1741,"[""water"", ""shall"", ""storage"", ""pump"", ""tank"", ""contractor"", ""contractor shall"", ""storage tank"", ""new"", ""improvements"", ""construction"", ""ground storage"", ""ground"", ""address"", ""plant""]","[""Contractor shall purchase and install a new water distribution system including PVC water lines ranging in size from two inches to sixteen inches (2&rdquo-16&rdquo), gate valves, fire hydrants, and associated appurtenances. In addition, Contractor shall remove and salvage existing fire hydrants, cut and plug abandoned water lines, make wet connections and Ta"", ""Contractor shall purchase and install a new water distribution system including PVC water lines ranging in size from two inches to sixteen inches (2&rdquo-16&rdquo), gate valves, fire hydrants, and associated appurtenances. In addition, Contractor shall remove and salvage existing fire hydrants, cut and plug abandoned water lines, make wet connections and Ta"", ""Contractor shall purchase and install a new water distribution system including PVC water lines ranging in size from two inches to sixteen inches (2&rdquo-16&rdquo), gate valves, fire hydrants, and associated appurtenances. In addition, Contractor shall remove and salvage existing fire hydrants, cut and plug abandoned water lines, make wet connections and Ta"", ""Contractor shall purchase and install a new water distribution system including PVC water lines ranging in size from two inches to sixteen inches (2&rdquo-16&rdquo), gate valves, fire hydrants, and associated appurtenances. In addition, Contractor shall remove and salvage existing fire hydrants, cut and plug abandoned water lines, make wet connections and Ta"", ""Contractor shall purchase and install a new water distribution system including PVC water lines ranging in size from two inches to sixteen inches (2&rdquo-16&rdquo), gate valves, fire hydrants, and associated appurtenances. In addition, Contractor shall remove and salvage existing fire hydrants, cut and plug abandoned water lines, make wet connections and Ta""]"
15,linear / linear feet / feet,1657,"[""linear"", ""linear feet"", ""feet"", ""lines linear"", ""funds allocated"", ""public"", ""allocated"", ""lines"", ""public improvement"", ""water"", ""improvement"", ""funds"", ""flood"", ""improvements"", ""management flood""]","[""The City of Giddings shall remove and replace culvert, curb and gutter, and paving; install headwalls and guard rails; and complete associated appurtenances for the Polk Street Drainage Improvements project. This activity meets the low- and moderate-income national objective using Census Tract and Block Group ACS 2020 LMISD with the State Standardized Area M"", ""The City of Giddings shall remove and replace culvert, curb and gutter, and paving; install headwalls and guard rails; and complete associated appurtenances for the Polk Street Drainage Improvements project. This activity meets the low- and moderate-income national objective using Census Tract and Block Group ACS 2020 LMISD with the State Standardized Area M"", ""The City of Kenedy shall demolish existing racetrack basin, improve wastewater treatment site, constructu laboratory, install a new sludge removal system and pipe, and complete associated appurtenances for the Updated Sewer Plant Improvements project. This activity meets the low- to moderate-income national objective using the city-wide ACS 2021 LMISD with t"", ""The City of Kenedy shall demolish existing racetrack basin, improve wastewater treatment site, constructu laboratory, install a new sludge removal system and pipe, and complete associated appurtenances for the Updated Sewer Plant Improvements project. This activity meets the low- to moderate-income national objective using the city-wide ACS 2021 LMISD with t"", ""The City of Kenedy shall demolish existing racetrack basin, improve wastewater treatment site, constructu laboratory, install a new sludge removal system and pipe, and complete associated appurtenances for the Updated Sewer Plant Improvements project. This activity meets the low- to moderate-income national objective using the city-wide ACS 2021 LMISD with t""]"
0,complete associated / complete / water,1407,"[""complete associated"", ""complete"", ""water"", ""low"", ""city"", ""low moderate"", ""moderate"", ""moderate income"", ""associated appurtenances"", ""appurtenances"", ""income"", ""shall"", ""associated"", ""persons"", ""appurtenances activities""]","[""Subrecipient will conduct sewer Infrastructure and public facility Infrastructure improvements to ensure the safety of the community and to facilitate the proper functioning of critical wastewater-system components to reduce the impact of sewage contamination and backflow in emergency situations. Subrecipient shall install permanently mounted power generator"", ""Subrecipient will conduct sewer Infrastructure and public facility Infrastructure improvements to ensure the safety of the community and to facilitate the proper functioning of critical wastewater-system components to reduce the impact of sewage contamination and backflow in emergency situations. Subrecipient shall install permanently mounted power generator"", ""Subrecipient will conduct sewer Infrastructure and public facility Infrastructure improvements to ensure the safety of the community and to facilitate the proper functioning of critical wastewater-system components to reduce the impact of sewage contamination and backflow in emergency situations. Subrecipient shall install permanently mounted power generator"", ""Subrecipient will conduct sewer Infrastructure and public facility Infrastructure improvements to ensure the safety of the community and to facilitate the proper functioning of critical wastewater-system components to reduce the impact of sewage contamination and backflow in emergency situations. Subrecipient shall install permanently mounted power generator"", ""Subrecipient will conduct sewer Infrastructure and public facility Infrastructure improvements to ensure the safety of the community and to facilitate the proper functioning of critical wastewater-system components to reduce the impact of sewage contamination and backflow in emergency situations. Subrecipient shall install permanently mounted power generator""]"
12,parcels acquired / acquired / parcels,1323,"[""parcels acquired"", ""acquired"", ""parcels"", ""floodplain"", ""units"", ""flood"", ""ike total"", ""condemnation properties"", ""owners parcels"", ""acquisition compensation"", ""total acquisition"", ""compensation owners"", ""compensation"", ""voluntarily parcels"", ""acquired voluntarily""]","[""Montgomery County will provide a buyout program for residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. These activities will meet the urgent need national obje"", ""Montgomery County will provide a buyout program for residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. These activities will meet the urgent need national obje"", ""Montgomery County will provide a buyout program for residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. These activities will meet the urgent need national obje"", ""Montgomery County will provide a buyout program for residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. These activities will meet the urgent need national obje"", ""Victoria County will provide a buyout program for residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. These activities will meet the urgent need national object""]"
8,county / oil sand / oil,1182,"[""county"", ""oil sand"", ""oil"", ""road"", ""sand"", ""county road"", ""shall"", ""construction"", ""newton county"", ""place county"", ""contractor shall"", ""county texas"", ""contractor"", ""newton"", ""surface addition""]","[""Contractor shall provide funds for the rental of oil sand mixing equipment and operator, re-grade and compact existing roadway, and construct an oil sand surface. In addition, Contractor shall perform site work associated with the construction. Construction shall take place on County Road 3057 from a point approximately one thousand seventy-five linear feet"", ""Contractor shall provide funds for the rental of oil sand mixing equipment and operator, re-grade and compact existing roadway, and construct an oil sand surface. In addition, Contractor shall perform site work associated with the construction. Construction shall take place on County Road 3057 from a point approximately one thousand seventy-five linear feet"", ""Contractor shall provide funds for the rental of oil sand mixing equipment and operator, re-grade and compact existing roadway, and construct an oil sand surface. In addition, Contractor shall perform site work associated with the construction. Construction shall take place on County Road 3057 from a point approximately one thousand seventy-five linear feet"", ""Contractor shall provide funds for the rental of oil sand mixing equipment and operator, re-grade and compact existing roadway, and construct an oil sand surface. In addition, Contractor shall perform site work associated with the construction. Construction shall take place on County Road 3057 from a point approximately one thousand seventy-five linear feet"", ""Contractor shall provide funds for the rental of oil sand mixing equipment and operator, re-grade and compact existing roadway, and construct an oil sand surface. In addition, Contractor shall perform site work associated with the construction. Construction shall take place on County Road 3057 from a point approximately one thousand seventy-five linear feet""]"
5,shall / sewer / contractor,1122,"[""shall"", ""sewer"", ""contractor"", ""contractor shall"", ""treatment"", ""hurricane ike"", ""sewage"", ""improvements"", ""address"", ""ike"", ""function"", ""caused"", ""street"", ""caused hurricane"", ""address failure""]","[""Contractor shall purchase and install a new water system that will include a PVC water line, service connections, and fire hydrants. In addition, Contractor shall tie into existing water lines and valves and perform site work associated with the construction. Construction shall take place under the following city streets: On CR3372 from CR 337 to CR 3379; on"", ""Contractor shall purchase and install a new water system that will include a PVC water line, service connections, and fire hydrants. In addition, Contractor shall tie into existing water lines and valves and perform site work associated with the construction. Construction shall take place under the following city streets: On CR3372 from CR 337 to CR 3379; on"", ""Contractor shall purchase and install a new water system that will include a PVC water line, service connections, and fire hydrants. In addition, Contractor shall tie into existing water lines and valves and perform site work associated with the construction. Construction shall take place under the following city streets: On CR3372 from CR 337 to CR 3379; on"", ""Contractor shall purchase and install a new water system that will include a PVC water line, service connections, and fire hydrants. In addition, Contractor shall tie into existing water lines and valves and perform site work associated with the construction. Construction shall take place under the following city streets: On CR3372 from CR 337 to CR 3379; on"", ""Contractor shall purchase and install a new water system that will include a PVC water line, service connections, and fire hydrants. In addition, Contractor shall tie into existing water lines and valves and perform site work associated with the construction. Construction shall take place under the following city streets: On CR3372 from CR 337 to CR 3379; on""]"
20,period / reporting / reporting period,1002,"[""period"", ""reporting"", ""reporting period"", ""activity"", ""reported"", ""adjustments"", ""expended"", ""draws"", ""reconciliation draws"", ""draws activity"", ""reconciliation"", ""negative"", ""prior period"", ""period adjustments"", ""negative expended""]","[""During the reporting period, the Water facilities project had construction underway. During the reporting period, a negative expended amount was reported. A reconciliation of draws on the activity was performed along with prior period adjustments and expenditures to determine this modification."", ""During the reporting period, Galveston County had construction underway on the public facilities projects. During the reporting period, a negative expended amount was reported. A reconciliation of draws on the activity was performed along with prior period adjustments and expenditures to determine this modification."", ""During the reporting period, Texas City had construction completed for their 13th Avenue Drainage project. During the reporting period, a negative expended amount was reported. A reconciliation of draws on the activity was performed along with prior period adjustments and expenditures to determine this modification."", ""During the reporting period , Pasadena had construction underway for the Water Facilities project. During the reporting period, a negative expended amount was reported. A reconciliation of draws on the activity was performed along with prior period adjustments and expenditures to determine this modification."", ""During the reporting period, Pasadena has construction procurement underway for their sewer facilities project. During the reporting period, a negative expended amount was reported. A reconciliation of draws on the activity was performed along with prior period adjustments and expenditures to determine this modification.""]"
