subject_type,subject_text,object_type,object_text,relation,context_window,weight
DISASTER,Hurricane Harvey,TX_COUNTY,Goliad County,cooccurs,sentence,92
DISASTER,Hurricane Harvey,TX_COUNTY,Milam County,cooccurs,sentence,92
ORG,F&D 0006 Rehabilitation,DISASTER,Ike,cooccurs,sentence,91
ORG,UN,TX_COUNTY,Trinity County,cooccurs,sentence,90
DISASTER,Ike,TX_COUNTY,Galveston County,cooccurs,sentence,90
ORG,Texas GLO,TX_COUNTY,Nueces County,cooccurs,sentence,90
ORG,Public Facilities,TX_COUNTY,CALHOUN COUNTY,cooccurs,sentence,90
PROGRAM,Economic Revitalization Program,DISASTER,Hurricane Harvey,cooccurs,sentence,90
ORG,Texas GLO,TX_COUNTY,Chambers County,cooccurs,sentence,89
ORG,Area Benefit (Survey,TX_COUNTY,Orange County,cooccurs,sentence,88
ORG,Flood and Drainage,TX_COUNTY,Chambers County,cooccurs,sentence,87
DISASTER,Ike,TX_COUNTY,Harris County,cooccurs,sentence,86
ORG,Project Title,TX_COUNTY,Harris County,cooccurs,sentence,86
ORG,Supervisory Control and Data Acquisition System,TX_COUNTY,Brazoria County,cooccurs,sentence,85
PROGRAM,Affordable Rental Program,DISASTER,Hurricane Harvey,cooccurs,sentence,84
ORG,Public Facilities,TX_COUNTY,Refugio County,cooccurs,sentence,83
DISASTER,Hurricane Harvey,TX_COUNTY,Tyler County,cooccurs,sentence,83
ORG,Local Government,TX_COUNTY,Jasper County,cooccurs,sentence,83
ORG,UN,DISASTER,Hurricane Harvey,cooccurs,sentence,83
ORG,Public Facilities,TX_COUNTY,Grimes County,cooccurs,sentence,82
ORG,Public Facilities,TX_COUNTY,Nueces County,cooccurs,sentence,81
ORG,GLO,DISASTER,Tropical Storm Imelda,cooccurs,sentence,81
ORG,Texas Department of Housing and Community Affairs,TX_COUNTY,Harris County,cooccurs,sentence,80
ORG,State Agency,PROGRAM,Local Infrastructure Program,cooccurs,sentence,80
ORG,Public Improvement,TX_COUNTY,San Augustine County,cooccurs,sentence,79
ORG,Public Improvement,TX_COUNTY,Sabine County,cooccurs,sentence,79
ORG,F&D 0006 Rehabilitation,TX_COUNTY,Chambers County,cooccurs,sentence,79
DISASTER,Ike,TX_COUNTY,Chambers County,cooccurs,sentence,79
ORG,DRS,TX_COUNTY,Hidalgo County,cooccurs,sentence,78
ORG,DRS,DISASTER,Ike,cooccurs,sentence,78
ORG,County Total Projected Budget,DISASTER,Hurricane Harvey,cooccurs,sentence,78
DISASTER,Hurricane Harvey,TX_COUNTY,Hardin County,cooccurs,sentence,78
DISASTER,Hurricane Harvey,TX_COUNTY,Grimes County,cooccurs,sentence,77
ORG,DRS,TX_COUNTY,Willacy County,cooccurs,sentence,76
ORG,Public Improvement,TX_COUNTY,Jasper County,cooccurs,sentence,76
ORG,Area Benefit (Survey,TX_COUNTY,Willacy County,cooccurs,sentence,75
ORG,Texas GLO,TX_COUNTY,Harris County,cooccurs,sentence,75
ORG,newacct04112013 Program Income Account,TX_COUNTY,Tyler County,cooccurs,sentence,74
ORG,Area Benefit (Survey,TX_COUNTY,Jasper County,cooccurs,sentence,74
DISASTER,Ike,TX_COUNTY,Montgomery County,cooccurs,sentence,74
ORG,Flood & Drainage,TX_COUNTY,Chambers County,cooccurs,sentence,74
ORG,Area Benefit (Survey,TX_COUNTY,Houston County,cooccurs,sentence,73
ORG,Flood & Drainage,DISASTER,Ike,cooccurs,sentence,73
PROGRAM,Local Infrastructure Program,TX_COUNTY,Refugio County,cooccurs,sentence,72
ORG,Non-Match Funds,TX_COUNTY,Harris County,cooccurs,sentence,72
ORG,Water Plant,DISASTER,Hurricane Ike,cooccurs,sentence,71
ORG,Area Benefit (Survey,TX_COUNTY,Tyler County,cooccurs,sentence,70
ORG,Public Facilities,TX_COUNTY,Jefferson County,cooccurs,sentence,70
ORG,Area Benefit (Survey,TX_COUNTY,Kleberg County,cooccurs,sentence,70
DISASTER,Ike,TX_COUNTY,Bastrop County,cooccurs,sentence,70
ORG,NCP 0005,TX_COUNTY,Matagorda County,cooccurs,sentence,69
ORG,HMAC,TX_COUNTY,Brazoria County,cooccurs,sentence,69
ORG,SCADA,TX_COUNTY,Brazoria County,cooccurs,sentence,69
DISASTER,Ike,TX_COUNTY,Milam County,cooccurs,sentence,69
ORG,Urgent Need,TX_COUNTY,Newton County,cooccurs,sentence,69
ORG,DRS,DISASTER,Hurricane Rita,cooccurs,sentence,68
ORG,Public Facilities,TX_COUNTY,Jasper County,cooccurs,sentence,68
ORG,Urgent Need,TX_COUNTY,Liberty County,cooccurs,sentence,68
ORG,Local Government Harris,DISASTER,Ike,cooccurs,sentence,68
ORG,Completed Activity Description,DISASTER,Hurricane Rita,cooccurs,sentence,67
ORG,Area Benefit (Survey,TX_COUNTY,Trinity County,cooccurs,sentence,67
ORG,Date 06/01/2010 Area Benefit (Survey,TX_COUNTY,Polk County,cooccurs,sentence,67
ORG,Street Improvements,TX_COUNTY,Newton County,cooccurs,sentence,67
ORG,Public Facilities,TX_COUNTY,Chambers County,cooccurs,sentence,66
PROGRAM,Local Infrastructure Program,TX_COUNTY,Matagorda County,cooccurs,sentence,66
ORG,Area Benefit (Survey,TX_COUNTY,Hidalgo County,cooccurs,sentence,65
ORG,DRS,TX_COUNTY,Walker County,cooccurs,sentence,65
ORG,Urgent Need Texas General Land Office Total Projected Budget,PROGRAM,Homeowner Assistance Program,cooccurs,sentence,65
ORG,Local Government,TX_COUNTY,Matagorda County,cooccurs,sentence,64
ORG,Local Government,TX_COUNTY,Austin County,cooccurs,sentence,64
ORG,Urgent Need,DISASTER,Hurricane Harvey,cooccurs,sentence,64
ORG,DRS,DISASTER,Hurricane Dolly,cooccurs,sentence,63
ORG,Countywide &,TX_COUNTY,Galveston County,cooccurs,sentence,63
ORG,DRS,TX_COUNTY,Sabine County,cooccurs,sentence,63
ORG,Area Benefit (Survey,TX_COUNTY,Galveston County,cooccurs,sentence,62
ORG,Urgent Need,TX_COUNTY,Polk County,cooccurs,sentence,62
ORG,City of Total Projected Budget,DISASTER,Hurricane Harvey,cooccurs,sentence,62
DISASTER,Ike,TX_COUNTY,Orange County,cooccurs,sentence,62
ORG,Area Benefit (Survey,TX_COUNTY,Matagorda County,cooccurs,sentence,61
ORG,Volunteer Fire Department,TX_COUNTY,Walker County,cooccurs,sentence,61
ORG,HMAC,TX_COUNTY,Starr County,cooccurs,sentence,60
ORG,Lower Rio Grande Valley Floods,DISASTER,Tropical Storm Imelda,cooccurs,sentence,60
ORG,Area Benefit (Survey,TX_COUNTY,Walker County,cooccurs,sentence,59
ORG,GLO,TX_COUNTY,Walker County,cooccurs,sentence,59
ORG,Texas Department of Housing and Community Affairs,TX_COUNTY,Galveston County,cooccurs,sentence,59
ORG,MIT - Public Facilities,TX_COUNTY,Tyler County,cooccurs,sentence,58
ORG,State Highway,TX_COUNTY,Galveston County,cooccurs,sentence,58
ORG,Area Benefit (Census,TX_COUNTY,Harris County,cooccurs,sentence,58
ORG,Urgent Need,TX_COUNTY,Hardin County,cooccurs,sentence,58
ORG,Public Facilities,TX_COUNTY,Walker County,cooccurs,sentence,58
DISASTER,Hurricane Ike,TX_COUNTY,Galveston County,cooccurs,sentence,58
ORG,Local Government,TX_COUNTY,Liberty County,cooccurs,sentence,58
DISASTER,Ike,TX_COUNTY,Liberty County,cooccurs,sentence,58
ORG,Date Total Projected Budget,TX_COUNTY,Galveston County,cooccurs,sentence,57
ORG,Urgent Need,TX_COUNTY,Trinity County,cooccurs,sentence,57
ORG,GLO,TX_COUNTY,Newton County,cooccurs,sentence,56
ORG,Project Number,TX_COUNTY,Harris County,cooccurs,sentence,56
ORG,Public Improvement,TX_COUNTY,Polk County,cooccurs,sentence,56
DISASTER,Ike,TX_COUNTY,Polk County,cooccurs,sentence,56
ORG,HUD,DISASTER,Tropical Storm Imelda,cooccurs,sentence,56
PROGRAM,Homeowner Assistance Program,TX_COUNTY,Hays County,cooccurs,sentence,56
ORG,Public Facilities,TX_COUNTY,Tyler County,cooccurs,sentence,55
ORG,Area Benefit (Survey,TX_COUNTY,Nacogdoches County,cooccurs,sentence,55
ORG,Non-Match Funds,TX_COUNTY,Galveston County,cooccurs,sentence,55
ORG,Housing Assistance Program(s,TX_COUNTY,Harris County,cooccurs,sentence,55
ORG,GLO,TX_COUNTY,Coryell County,cooccurs,sentence,54
ORG,FEMA,DISASTER,Hurricane Rita,cooccurs,sentence,54
ORG,Texas Activity Progress Narrative,TX_COUNTY,Galveston County,cooccurs,sentence,54
ORG,DRS,TX_COUNTY,San Jacinto County,cooccurs,sentence,54
ORG,Date Total Projected Budget,TX_COUNTY,Harris County,cooccurs,sentence,53
ORG,newacct04112013 Program Income Account,TX_COUNTY,Trinity County,cooccurs,sentence,53
ORG,Affordable Rental Housing Under Way Activity Description,TX_COUNTY,Galveston County,cooccurs,sentence,53
ORG,Area Benefit (Survey,TX_COUNTY,Starr County,cooccurs,sentence,53
ORG,COCC,TX_COUNTY,Newton County,cooccurs,sentence,53
ORG,Public Facilities,TX_COUNTY,Polk County,cooccurs,sentence,52
ORG,State Highway,TX_COUNTY,Liberty County,cooccurs,sentence,52
ORG,Galveston Total Projected Budget,DISASTER,Hurricane Ike,cooccurs,sentence,52
DISASTER,Hurricane Ike,TX_COUNTY,Liberty County,cooccurs,sentence,52
ORG,Total Funds,PROGRAM,Homeowner Assistance Program,cooccurs,sentence,52
ORG,Local Government,TX_COUNTY,San Augustine County,cooccurs,sentence,51
ORG,Local Government,TX_COUNTY,Sabine County,cooccurs,sentence,51
ORG,GLO,DISASTER,Hurricane Ike,cooccurs,sentence,51
DISASTER,Hurricane Ike,TX_COUNTY,Madison County,cooccurs,sentence,51
ORG,LF,TX_COUNTY,Newton County,cooccurs,sentence,51
ORG,Project Number,TX_COUNTY,Cameron County,cooccurs,sentence,50
ORG,Public Facilities,TX_COUNTY,Madison County,cooccurs,sentence,50
ORG,Flood and Drainage,TX_COUNTY,Fort Bend County,cooccurs,sentence,50
ORG,Local Government,TX_COUNTY,CALHOUN COUNTY,cooccurs,sentence,50
ORG,Area Benefit (Census,TX_COUNTY,Chambers County,cooccurs,sentence,49
ORG,Area Benefit (Survey,TX_COUNTY,Cherokee County,cooccurs,sentence,49
ORG,Public Facilities,TX_COUNTY,Liberty County,cooccurs,sentence,49
ORG,Public Improvement,TX_COUNTY,Waller County,cooccurs,sentence,49
ORG,HUD,PROGRAM,Local Infrastructure Program,cooccurs,sentence,49
ORG,Local Government,TX_COUNTY,Grimes County,cooccurs,sentence,49
PROGRAM,Homeowner Reimbursement Program,TX_COUNTY,Harris County,cooccurs,sentence,49
ORG,Project Title,PROGRAM,Affordable Rental Program,cooccurs,sentence,49
ORG,Non-Match Funds,PROGRAM,Homeowner Assistance Program,cooccurs,sentence,49
ORG,Urgent Need Texas General Land Office Total Projected Budget,PROGRAM,Homeowner Reimbursement Program,cooccurs,sentence,49
ORG,HUD,PROGRAM,Affordable Rental Program,cooccurs,sentence,49
ORG,Texas GLO,TX_COUNTY,Fort Bend County,cooccurs,sentence,49
ORG,FEMA,DISASTER,Rita,cooccurs,sentence,48
ORG,HUD,DISASTER,Hurricane Rita,cooccurs,sentence,48
ORG,Area Benefit (Census,TX_COUNTY,Liberty County,cooccurs,sentence,48
ORG,Area Benefit (Survey,TX_COUNTY,Hardin County,cooccurs,sentence,48
ORG,UN,TX_COUNTY,Washington County,cooccurs,sentence,48
ORG,Area Benefit (Survey,DISASTER,Ike,cooccurs,sentence,48
DISASTER,Ike,TX_COUNTY,Waller County,cooccurs,sentence,48
ORG,Local Government,TX_COUNTY,Montgomery County,cooccurs,sentence,48
ORG,Restricted Balance,PROGRAM,Homeowner Assistance Program,cooccurs,sentence,48
ORG,Date 06/01/2010 Area Benefit (Survey,TX_COUNTY,San Jacinto County,cooccurs,sentence,47
ORG,Area Benefit (Survey,TX_COUNTY,Robertson County,cooccurs,sentence,47
ORG,Area Benefit (Census,DISASTER,Hurricane Ike,cooccurs,sentence,47
ORG,Area Benefit (Survey,TX_COUNTY,Angelina County,cooccurs,sentence,47
ORG,UN,TX_COUNTY,Liberty County,cooccurs,sentence,47
DISASTER,Hurricane Dolly,TX_COUNTY,Willacy County,cooccurs,sentence,47
DISASTER,Hurricane Harvey,TX_COUNTY,Caldwell County,cooccurs,sentence,47
DISASTER,Ike,TX_COUNTY,Victoria County,cooccurs,sentence,47
ORG,Restricted Balance,TX_COUNTY,Harris County,cooccurs,sentence,47
ORG,Date Total Projected Budget,DISASTER,Ike,cooccurs,sentence,46
ORG,DRS,TX_COUNTY,Polk County,cooccurs,sentence,46
DISASTER,Ike,TX_COUNTY,Austin County,cooccurs,sentence,46
ORG,TX,TX_COUNTY,Jefferson County,cooccurs,sentence,46
ORG,Sewer Facilities,TX_COUNTY,Harris County,cooccurs,sentence,46
ORG,FEMA,TX_COUNTY,Eastland County,cooccurs,sentence,45
ORG,newacct04112013 Program Income Account,TX_COUNTY,Walker County,cooccurs,sentence,45
ORG,DRS,TX_COUNTY,Liberty County,cooccurs,sentence,45
ORG,Public Facilities,TX_COUNTY,Angelina County,cooccurs,sentence,45
ORG,Water Plant,TX_COUNTY,Matagorda County,cooccurs,sentence,45
ORG,Local Government,TX_COUNTY,Galveston County,cooccurs,sentence,45
ORG,GLO,DISASTER,Ike,cooccurs,sentence,45
ORG,Restricted Balance,PROGRAM,Affordable Rental Program,cooccurs,sentence,45
ORG,TX,TX_COUNTY,Galveston County,cooccurs,sentence,44
ORG,State Highway,TX_COUNTY,Newton County,cooccurs,sentence,44
ORG,DRS,TX_COUNTY,Jefferson County,cooccurs,sentence,44
ORG,Public Facilities,TX_COUNTY,Montgomery County,cooccurs,sentence,44
PROGRAM,Local Infrastructure Program,TX_COUNTY,CALHOUN COUNTY,cooccurs,sentence,44
ORG,F&D 0006 Rehabilitation,TX_COUNTY,Fort Bend County,cooccurs,sentence,44
ORG,Flood and Drainage Facilities,TX_COUNTY,Fort Bend County,cooccurs,sentence,44
DISASTER,Ike,TX_COUNTY,Jasper County,cooccurs,sentence,44
ORG,State Highway,TX_COUNTY,Hardin County,cooccurs,sentence,43
ORG,Public Facilities,TX_COUNTY,Burleson County,cooccurs,sentence,43
ORG,DRS,TX_COUNTY,Leon County,cooccurs,sentence,43
PROGRAM,Affordable Rental Program,DISASTER,Imelda,cooccurs,sentence,43
ORG,UN,TX_COUNTY,Montgomery County,cooccurs,sentence,43
ORG,HUD,DISASTER,Rita,cooccurs,sentence,42
ORG,GLO,TX_COUNTY,Galveston County,cooccurs,sentence,42
ORG,Total Funds,TX_COUNTY,Harris County,cooccurs,sentence,42
ORG,State Highway,TX_COUNTY,Bastrop County,cooccurs,sentence,41
ORG,Salary Allocations Activity Progress Narrative,TX_COUNTY,Harris County,cooccurs,sentence,41
ORG,Area Benefit (Survey,TX_COUNTY,Liberty County,cooccurs,sentence,41
ORG,Direct Benefit,TX_COUNTY,Galveston County,cooccurs,sentence,41
ORG,Date 06/01/2010 Area Benefit (Survey,TX_COUNTY,Jasper County,cooccurs,sentence,41
ORG,UN,DISASTER,Ike,cooccurs,sentence,41
DISASTER,Hurricane Ike,TX_COUNTY,Angelina County,cooccurs,sentence,41
DISASTER,Ike,TX_COUNTY,Walker County,cooccurs,sentence,41
ORG,NCP,TX_COUNTY,Tyler County,cooccurs,sentence,40
ORG,FEMA,TX_COUNTY,Bee County,cooccurs,sentence,40
ORG,Date Total Projected Budget,DISASTER,Hurricane Ike,cooccurs,sentence,40
ORG,Public Facilities,TX_COUNTY,Trinity County,cooccurs,sentence,40
ORG,DRS,TX_COUNTY,Chambers County,cooccurs,sentence,40
ORG,Date 01/01/2010 Area Benefit (Survey,TX_COUNTY,Cameron County,cooccurs,sentence,40
ORG,UN,TX_COUNTY,Brazoria County,cooccurs,sentence,40
ORG,Texas GLO,TX_COUNTY,Gonzales County,cooccurs,sentence,40
