category,year,quarter,heading_text,section_count,total_lines,total_chars
Hurricane_Ike,2010,2,Activitiy Category,553,5530,54516
Hurricane_Ike,2010,2,DREF,8,34,1770
Hurricane_Ike,2010,2,>DREF,3,23,846
Hurricane_Ike,2010,2,STREET,2,65,1764
Hurricane_Ike,2010,2,Original Description,2,18,1734
Hurricane_Ike,2010,2,Houston-galveston Area Council (H-GAC),2,4,174
Hurricane_Ike,2010,2,Wastewater Treatment Plant.,1,5,455
Hurricane_Ike,2010,2,Vista Village Ditch,1,5,266
Hurricane_Ike,2010,2,To,1,30,1408
Hurricane_Ike,2010,2,System At The Following Locations,1,1,34
Hurricane_Ike,2010,2,Stadium Drive,1,5,325
Hurricane_Ike,2010,2,Spencer Highway,1,54,1690
Hurricane_Ike,2010,2,Sabine Pass Ditch,1,4,277
Hurricane_Ike,2010,2,Review By HUD,1,1,14
Hurricane_Ike,2010,2,Recovery Needs,1,68,4232
Hurricane_Ike,2010,2,QPR Contact,1,2,32
Hurricane_Ike,2010,2,Procter Street,1,5,287
Hurricane_Ike,2010,2,Place At The Following Locations,1,1,33
Hurricane_Ike,2010,2,Overall Progress Narrative,1,89,2549
Hurricane_Ike,2010,2,Obligation Date,1,2,26
Hurricane_Ike,2010,2,No Other Funding Sources Found,1,6,111
Hurricane_Ike,2010,2,Mauve Outfall Ditch,1,8,587
Hurricane_Ike,2010,2,Location,1,1,9
Hurricane_Ike,2010,2,Lee Avenue,1,5,310
Hurricane_Ike,2010,2,Kansas Avenue,1,15,424
Hurricane_Ike,2010,2,Grantee Shall Perform Drainage Improvements At The Following Locations,1,3,87
Hurricane_Ike,2010,2,Grantee Name,1,2,34
Hurricane_Ike,2010,2,Grantee,1,4,37
Hurricane_Ike,2010,2,Grant Status,1,2,19
Hurricane_Ike,2010,2,Grant Amount,1,2,30
Hurricane_Ike,2010,2,Grant,1,2,27
Hurricane_Ike,2010,2,Golf Course Pump Station,1,20,1741
Hurricane_Ike,2010,2,From,1,1,5
Hurricane_Ike,2010,2,Flooding. DREF,1,10,1021
Hurricane_Ike,2010,2,Fire Station #1 & #2,1,9,471
Hurricane_Ike,2010,2,El Jardin Subdivision (Charles Ditch),1,14,409
Hurricane_Ike,2010,2,El Cary Subdivision,1,18,1681
Hurricane_Ike,2010,2,Document,1,2,66
Hurricane_Ike,2010,2,Disasters,1,4,56
Hurricane_Ike,2010,2,Disaster Damage,1,12,1495
Hurricane_Ike,2010,2,DREF Description,1,8,690
Hurricane_Ike,2010,2,Contractor Shall Make The Following Water System Improvements Throughout The City,1,5,473
Hurricane_Ike,2010,2,Contract End Date,1,2,39
Hurricane_Ike,2010,2,Construction Shall Take Place At The Following Locations,1,1,57
Hurricane_Ike,2010,2,Award Date,1,1,11
Hurricane_Ike,2010,2,>Category A,1,3,191
Hurricane_Ike,2010,3,Responsible Organization,636,2544,58605
Hurricane_Ike,2010,3,Projected Start Date,636,636,13356
Hurricane_Ike,2010,3,Projected End Date,636,636,12084
Hurricane_Ike,2010,3,National Objective,636,3180,65508
Hurricane_Ike,2010,3,Location Description,636,2216,94766
Hurricane_Ike,2010,3,Completed Activity Actual End Date,636,4453,77234
Hurricane_Ike,2010,3,Benefit Type,636,8904,119281
Hurricane_Ike,2010,3,Activity Progress Narrative,636,24768,402407
Hurricane_Ike,2010,3,Activity Description,636,3782,335174
Hurricane_Ike,2010,3,Activitiy Category,636,6972,73262
Hurricane_Ike,2010,3,DREF,10,40,1988
Hurricane_Ike,2010,3,>DREF,6,23,1013
Hurricane_Ike,2010,3,STREET,2,65,1768
Hurricane_Ike,2010,3,Houston-galveston Area Council (H-GAC),2,4,174
Hurricane_Ike,2010,3,Wastewater Treatment Plant.,1,5,455
Hurricane_Ike,2010,3,Vista Village Ditch,1,5,266
Hurricane_Ike,2010,3,To,1,30,1410
Hurricane_Ike,2010,3,System At The Following Locations,1,1,34
Hurricane_Ike,2010,3,Stadium Drive,1,5,325
Hurricane_Ike,2010,3,Spencer Highway,1,54,1690
Hurricane_Ike,2010,3,Served Is As Follows,1,7,193
Hurricane_Ike,2010,3,Sabine Pass Ditch,1,14,387
Hurricane_Ike,2010,3,Review By HUD,1,1,14
Hurricane_Ike,2010,3,Recovery Needs,1,68,4267
Hurricane_Ike,2010,3,QPR Contact,1,2,32
Hurricane_Ike,2010,3,Project Summary,1,37,490
Hurricane_Ike,2010,3,Procter Street,1,5,287
Hurricane_Ike,2010,3,Place At The Following Locations,1,1,33
Hurricane_Ike,2010,3,Overall Progress Narrative,1,36,597
Hurricane_Ike,2010,3,Obligation Date,1,2,26
Hurricane_Ike,2010,3,No Other Funding Sources Found,1,6,111
Hurricane_Ike,2010,3,Mauve Outfall Ditch,1,8,587
Hurricane_Ike,2010,3,Location,1,1,9
Hurricane_Ike,2010,3,Lee Avenue,1,5,310
Hurricane_Ike,2010,3,Kansas Avenue,1,5,318
Hurricane_Ike,2010,3,Grantee Shall Perform Drainage Improvements At The Following Locations,1,3,87
Hurricane_Ike,2010,3,Grantee Name,1,2,34
Hurricane_Ike,2010,3,Grantee,1,4,37
Hurricane_Ike,2010,3,Grant Status,1,2,19
Hurricane_Ike,2010,3,Grant Amount,1,2,30
Hurricane_Ike,2010,3,Grant,1,2,27
Hurricane_Ike,2010,3,Golf Course Pump Station,1,20,1741
Hurricane_Ike,2010,3,From,1,1,5
Hurricane_Ike,2010,3,Flooding. DREF,1,10,1021
Hurricane_Ike,2010,3,Fire Station #1 & #2,1,9,471
Hurricane_Ike,2010,3,Environmental Fund Release Complete. Engineering Design Work Underway.,1,36,612
Hurricane_Ike,2010,3,Engineering Design Work Underway.,1,1,33
Hurricane_Ike,2010,3,El Jardin Subdivision (Charles Ditch),1,14,410
Hurricane_Ike,2010,3,El Cary Subdivision,1,18,1681
Hurricane_Ike,2010,3,Document,1,2,70
Hurricane_Ike,2010,3,Distinct Improvement Phases,1,12,864
Hurricane_Ike,2010,3,Disasters,1,4,56
Hurricane_Ike,2010,3,Disaster Damage,1,12,1495
Hurricane_Ike,2010,3,Contractor Shall Make The Following Water System Improvements Throughout The City,1,5,473
Hurricane_Ike,2010,3,Contract End Date,1,2,39
Hurricane_Ike,2010,3,Construction Shall Take Place At The Following Locations,1,1,57
Hurricane_Ike,2010,3,Awards & Contracts Round I,1,54,4226
Hurricane_Ike,2010,3,Award Date,1,1,11
Hurricane_Ike,2010,4,Responsible Organization,632,2528,59209
Hurricane_Ike,2010,4,Projected Start Date,632,632,13272
Hurricane_Ike,2010,4,Projected End Date,632,632,12008
Hurricane_Ike,2010,4,National Objective,632,3160,65096
Hurricane_Ike,2010,4,Location Description,632,2858,180847
Hurricane_Ike,2010,4,Completed Activity Actual End Date,632,4425,77255
Hurricane_Ike,2010,4,Benefit Type,632,8848,119155
Hurricane_Ike,2010,4,Activity Progress Narrative,632,24572,404308
Hurricane_Ike,2010,4,Activity Description,632,4115,378213
Hurricane_Ike,2010,4,Activitiy Category,632,6951,74641
Hurricane_Ike,2010,4,DREF,11,44,2188
Hurricane_Ike,2010,4,>DREF,5,19,812
Hurricane_Ike,2010,4,No Other Funding Sources Found,3,20,409
Hurricane_Ike,2010,4,STREET,2,65,1781
Hurricane_Ike,2010,4,Wastewater Treatment Plant.,1,5,455
Hurricane_Ike,2010,4,Vista Village Ditch,1,15,379
Hurricane_Ike,2010,4,Total Activities Found Eligible And Approved For Funding To Date,1,47,624
Hurricane_Ike,2010,4,To,1,30,1414
Hurricane_Ike,2010,4,There Are Four Distinct Locations Under This DRGR Activity As Follows,1,38,3310
Hurricane_Ike,2010,4,System At The Following Locations,1,1,34
Hurricane_Ike,2010,4,Stadium Drive,1,4,261
Hurricane_Ike,2010,4,Spencer Highway,1,54,1690
Hurricane_Ike,2010,4,Single Family Rental Rehabilitation Program,1,30,1956
Hurricane_Ike,2010,4,Set Asides,1,11,1087
Hurricane_Ike,2010,4,Sabine Pass Ditch,1,4,281
Hurricane_Ike,2010,4,Review By HUD,1,1,14
Hurricane_Ike,2010,4,Recovery Needs,1,64,4033
Hurricane_Ike,2010,4,Raymondville Bridges,1,18,841
Hurricane_Ike,2010,4,QPR Contact,1,2,24
Hurricane_Ike,2010,4,Project Summary,1,53,722
Hurricane_Ike,2010,4,Procter Street,1,5,287
Hurricane_Ike,2010,4,Port Mansfield,1,5,453
Hurricane_Ike,2010,4,Planning,1,8,793
Hurricane_Ike,2010,4,Place At The Following Locations,1,1,33
Hurricane_Ike,2010,4,Overall Progress Narrative,1,108,6364
Hurricane_Ike,2010,4,Obligation Date,1,2,26
Hurricane_Ike,2010,4,Number Of Activities Found Eligible And Approved For Funding By TDHCA In Reporting Period,1,1,90
Hurricane_Ike,2010,4,Number Of Activities Found Eligible And Approved For Funding By TDHCA In Previous Periods,1,1,90
Hurricane_Ike,2010,4,Multi-family Rehabilitation Program,1,3,282
Hurricane_Ike,2010,4,Mauve Outfall Ditch,1,8,587
Hurricane_Ike,2010,4,Location,1,1,9
Hurricane_Ike,2010,4,Lee Avenue,1,5,310
Hurricane_Ike,2010,4,Kansas Avenue,1,5,318
Hurricane_Ike,2010,4,Grantee Shall Perform Drainage Improvements At The Following Locations,1,3,87
Hurricane_Ike,2010,4,Grantee Name,1,2,34
Hurricane_Ike,2010,4,Grantee,1,4,37
Hurricane_Ike,2010,4,Grant Status,1,2,19
Hurricane_Ike,2010,4,Grant Amount,1,2,30
Hurricane_Ike,2010,4,Grant,1,2,27
Hurricane_Ike,2010,4,Golf Course Pump Station,1,22,1925
Hurricane_Ike,2010,4,From,1,1,5
Hurricane_Ike,2010,4,Fire Station #1 & #2,1,8,470
Hurricane_Ike,2010,4,El Jardin Subdivision (Charles Ditch),1,14,419
Hurricane_Ike,2010,4,El Cary Subdivision,1,18,1681
Hurricane_Ike,2010,4,Document,1,2,72
Hurricane_Ike,2010,4,Distinct Improvement Phases,1,12,864
Hurricane_Ike,2010,4,Disasters,1,5,68
Hurricane_Ike,2010,4,Disaster Damage,1,12,1495
Hurricane_Ike,2010,4,Contractor Shall Make The Following Water System Improvements Throughout The City,1,5,473
Hurricane_Ike,2010,4,Contract End Date,1,2,39
Hurricane_Ike,2010,4,Construction Shall Take Place At The Following Locations,1,1,57
Hurricane_Ike,2010,4,Code Enforcement,1,5,459
Hurricane_Ike,2010,4,Award Date,1,1,11
Hurricane_Ike,2010,4,Additional Project Detail,1,19,2075
Hurricane_Ike,2011,1,Responsible Organization,634,2536,59593
Hurricane_Ike,2011,1,Projected Start Date,634,634,13314
Hurricane_Ike,2011,1,Projected End Date,634,634,12046
Hurricane_Ike,2011,1,National Objective,634,3170,65302
Hurricane_Ike,2011,1,Location Description,634,2896,187310
Hurricane_Ike,2011,1,Completed Activity Actual End Date,634,4439,77741
Hurricane_Ike,2011,1,Benefit Type,634,8876,119817
Hurricane_Ike,2011,1,Activity Progress Narrative,634,24745,407410
Hurricane_Ike,2011,1,Activity Description,634,4121,378680
Hurricane_Ike,2011,1,Activitiy Category,634,6973,75129
Hurricane_Ike,2011,1,DREF,11,44,2188
Hurricane_Ike,2011,1,>DREF,5,19,812
Hurricane_Ike,2011,1,No Other Funding Sources Found,3,18,334
Hurricane_Ike,2011,1,STREET,2,65,1781
Hurricane_Ike,2011,1,Wastewater Treatment Plant.,1,5,455
Hurricane_Ike,2011,1,Vista Village Ditch,1,15,381
Hurricane_Ike,2011,1,To,1,30,1415
Hurricane_Ike,2011,1,There Are Four Distinct Locations Under This DRGR Activity As Follows,1,38,3311
Hurricane_Ike,2011,1,System At The Following Locations,1,1,34
Hurricane_Ike,2011,1,Stadium Drive,1,4,261
Hurricane_Ike,2011,1,Spencer Highway,1,54,1690
Hurricane_Ike,2011,1,Single Family Rental Rehabilitation Program,1,30,1956
Hurricane_Ike,2011,1,Set Asides,1,11,1087
Hurricane_Ike,2011,1,Sabine Pass Ditch,1,4,281
Hurricane_Ike,2011,1,Review By HUD,1,1,14
Hurricane_Ike,2011,1,Recovery Needs,1,54,3045
Hurricane_Ike,2011,1,Raymondville Bridges,1,18,840
Hurricane_Ike,2011,1,QPR Contact,1,2,24
Hurricane_Ike,2011,1,Project Summary,1,53,720
Hurricane_Ike,2011,1,Procter Street,1,5,287
Hurricane_Ike,2011,1,Port Mansfield,1,5,453
Hurricane_Ike,2011,1,Planning,1,8,793
Hurricane_Ike,2011,1,Place At The Following Locations,1,1,33
Hurricane_Ike,2011,1,Overall Progress Narrative,1,81,4464
Hurricane_Ike,2011,1,Obligation Date,1,2,26
Hurricane_Ike,2011,1,OVERALL ACTIVITIES,1,4,276
Hurricane_Ike,2011,1,NON-HOUSING (INFRASTRUCTURE),1,1,29
Hurricane_Ike,2011,1,Multi-family Rehabilitation Program,1,3,282
Hurricane_Ike,2011,1,Mauve Outfall Ditch,1,8,587
Hurricane_Ike,2011,1,Location,1,1,9
Hurricane_Ike,2011,1,Lee Avenue,1,5,310
Hurricane_Ike,2011,1,Kansas Avenue,1,5,318
Hurricane_Ike,2011,1,HOUSING,1,60,5509
Hurricane_Ike,2011,1,Grantee Shall Perform Drainage Improvements At The Following Locations,1,3,87
Hurricane_Ike,2011,1,Grantee Name,1,2,34
Hurricane_Ike,2011,1,Grantee,1,4,37
Hurricane_Ike,2011,1,Grant Status,1,2,19
Hurricane_Ike,2011,1,Grant Amount,1,2,30
Hurricane_Ike,2011,1,Grant,1,2,27
Hurricane_Ike,2011,1,Golf Course Pump Station,1,22,1925
Hurricane_Ike,2011,1,From,1,1,5
Hurricane_Ike,2011,1,Fire Station #1 & #2,1,8,470
Hurricane_Ike,2011,1,El Jardin Subdivision (Charles Ditch),1,14,418
Hurricane_Ike,2011,1,El Cary Subdivision,1,18,1681
Hurricane_Ike,2011,1,Document,1,2,69
Hurricane_Ike,2011,1,Distinct Improvement Phases,1,12,864
Hurricane_Ike,2011,1,Disasters,1,5,68
Hurricane_Ike,2011,1,Disaster Damage,1,12,1495
Hurricane_Ike,2011,1,Contractor Shall Make The Following Water System Improvements Throughout The City,1,5,473
Hurricane_Ike,2011,1,Contract End Date,1,2,39
Hurricane_Ike,2011,1,Construction Shall Take Place At The Following Locations,1,1,57
Hurricane_Ike,2011,1,Code Enforcement,1,5,459
Hurricane_Ike,2011,1,Award Date,1,1,11
Hurricane_Ike,2011,1,Additional Project Detail,1,19,2075
Hurricane_Ike,2011,1,ACTION PLAN AND DISASTER RECOVERY ENHANCEMENT FUND,1,8,763
Hurricane_Ike,2011,2,Responsible Organization,636,2544,59802
Hurricane_Ike,2011,2,Projected Start Date,636,636,13356
Hurricane_Ike,2011,2,Projected End Date,636,636,12084
Hurricane_Ike,2011,2,National Objective,636,3180,65508
Hurricane_Ike,2011,2,Location Description,636,2899,186606
Hurricane_Ike,2011,2,Completed Activity Actual End Date,636,4453,78120
Hurricane_Ike,2011,2,Benefit Type,636,8904,120505
Hurricane_Ike,2011,2,Activity Progress Narrative,636,24848,413896
Hurricane_Ike,2011,2,Activity Description,636,4123,378768
Hurricane_Ike,2011,2,Activitiy Category,636,6995,75572
Hurricane_Ike,2011,2,DREF,11,44,2188
Hurricane_Ike,2011,2,>DREF,5,19,812
Hurricane_Ike,2011,2,No Other Funding Sources Found,3,20,409
Hurricane_Ike,2011,2,STREET,2,65,1781
Hurricane_Ike,2011,2,"Which Reports Single Family Activities By Sub-recipient, Reported The Following",1,7,482
Hurricane_Ike,2011,2,Wastewater Treatment Plant.,1,5,455
Hurricane_Ike,2011,2,Vista Village Ditch,1,15,381
Hurricane_Ike,2011,2,To,1,30,1416
Hurricane_Ike,2011,2,There Are Four Distinct Locations Under This DRGR Activity As Follows,1,38,3311
Hurricane_Ike,2011,2,System At The Following Locations,1,1,34
Hurricane_Ike,2011,2,Stadium Drive,1,4,261
Hurricane_Ike,2011,2,Spencer Highway,1,54,1690
Hurricane_Ike,2011,2,Single Family Rental Rehabilitation Program,1,30,1956
Hurricane_Ike,2011,2,Set Asides,1,11,1087
Hurricane_Ike,2011,2,Sabine Pass Ditch,1,4,281
Hurricane_Ike,2011,2,Review By HUD,1,1,14
Hurricane_Ike,2011,2,Recovery Needs,1,54,3044
Hurricane_Ike,2011,2,Raymondville Bridges,1,18,841
Hurricane_Ike,2011,2,QPR Contact,1,2,32
Hurricane_Ike,2011,2,Project Summary,1,43,609
Hurricane_Ike,2011,2,Programs,1,3,221
Hurricane_Ike,2011,2,Procter Street,1,5,287
Hurricane_Ike,2011,2,Port Mansfield,1,5,453
Hurricane_Ike,2011,2,Planning,1,8,793
Hurricane_Ike,2011,2,Place At The Following Locations,1,1,33
Hurricane_Ike,2011,2,Overall Progress Narrative,1,44,1228
Hurricane_Ike,2011,2,Obligation Date,1,2,26
Hurricane_Ike,2011,2,NON-HOUSING (INFRASTRUCTURE),1,50,4540
Hurricane_Ike,2011,2,Multi-family Rehabilitation Program,1,3,282
Hurricane_Ike,2011,2,Mauve Outfall Ditch,1,8,587
Hurricane_Ike,2011,2,Location,1,1,9
Hurricane_Ike,2011,2,Lee Avenue,1,5,310
Hurricane_Ike,2011,2,Kansas Avenue,1,5,318
Hurricane_Ike,2011,2,Housing,1,7,649
Hurricane_Ike,2011,2,Grantee Shall Perform Drainage Improvements At The Following Locations,1,3,87
Hurricane_Ike,2011,2,Grantee Name,1,2,34
Hurricane_Ike,2011,2,Grantee,1,4,37
Hurricane_Ike,2011,2,Grant Status,1,2,19
Hurricane_Ike,2011,2,Grant Amount,1,2,30
Hurricane_Ike,2011,2,Grant,1,2,27
Hurricane_Ike,2011,2,Golf Course Pump Station,1,22,1925
Hurricane_Ike,2011,2,From,1,1,5
Hurricane_Ike,2011,2,Fire Station #1 & #2,1,8,470
Hurricane_Ike,2011,2,El Jardin Subdivision (Charles Ditch),1,14,418
Hurricane_Ike,2011,2,El Cary Subdivision,1,18,1681
Hurricane_Ike,2011,2,Document,1,2,66
Hurricane_Ike,2011,2,Distinct Improvement Phases,1,12,864
Hurricane_Ike,2011,2,Disasters,1,5,68
Hurricane_Ike,2011,2,Disaster Damage,1,12,1495
Hurricane_Ike,2011,2,Contractor Shall Make The Following Water System Improvements Throughout The City,1,5,473
Hurricane_Ike,2011,2,Contract End Date,1,2,39
Hurricane_Ike,2011,2,Construction Shall Take Place At The Following Locations,1,1,57
Hurricane_Ike,2011,2,Construction,1,7,601
Hurricane_Ike,2011,2,Compliance And Quality Control,1,15,1522
Hurricane_Ike,2011,2,Communication,1,4,357
Hurricane_Ike,2011,2,Code Enforcement,1,5,459
Hurricane_Ike,2011,2,Budget And Policy,1,8,635
Hurricane_Ike,2011,2,Award Date,1,1,11
Hurricane_Ike,2011,2,Additional Project Detail,1,19,2075
Hurricane_Ike,2011,2,"0009, Administration - Housing",1,11,156
Hurricane_Ike,2011,3,Responsible Organization,640,2560,60345
Hurricane_Ike,2011,3,Projected Start Date,640,640,13440
Hurricane_Ike,2011,3,Projected End Date,640,640,12160
Hurricane_Ike,2011,3,National Objective,640,3200,64640
Hurricane_Ike,2011,3,Location Description,640,2944,177130
Hurricane_Ike,2011,3,Completed Activity Actual End Date,640,4481,73517
Hurricane_Ike,2011,3,Benefit Type,640,8960,109108
Hurricane_Ike,2011,3,Activity Progress Narrative,640,21946,498731
Hurricane_Ike,2011,3,Activity Description,640,4451,404847
Hurricane_Ike,2011,3,Activitiy Category,640,7040,66970
Hurricane_Ike,2011,3,DREF,11,44,2188
Hurricane_Ike,2011,3,>DREF,5,19,812
Hurricane_Ike,2011,3,No Other Funding Sources Found,3,26,637
Hurricane_Ike,2011,3,Construction Shall Take Place At The Following Locations,2,8,744
Hurricane_Ike,2011,3,Vista Village Ditch,1,5,266
Hurricane_Ike,2011,3,Uninterrupted Water Service. Construction Shall Take Place At The Following Locations,1,35,2298
Hurricane_Ike,2011,3,To,1,35,1535
Hurricane_Ike,2011,3,There Are Four Distinct Locations Under This DRGR Activity As Follows,1,43,3430
Hurricane_Ike,2011,3,System At The Following Locations,1,1,34
Hurricane_Ike,2011,3,Stadium Drive,1,4,261
Hurricane_Ike,2011,3,Single Family Rental Rehabilitation Program,1,32,2005
Hurricane_Ike,2011,3,Set Asides,1,11,1087
Hurricane_Ike,2011,3,Sabine Pass Ditch,1,19,512
Hurricane_Ike,2011,3,STREET,1,49,1664
Hurricane_Ike,2011,3,STATE PLANNING AND ADMINISTRATION,1,4,277
Hurricane_Ike,2011,3,Review By HUD,1,3,44
Hurricane_Ike,2011,3,Recovery Needs,1,27,2652
Hurricane_Ike,2011,3,QPR Contact,1,1,12
Hurricane_Ike,2011,3,Project Summary,1,47,749
Hurricane_Ike,2011,3,Procter Street,1,5,287
Hurricane_Ike,2011,3,Port Mansfield,1,5,453
Hurricane_Ike,2011,3,Planning,1,8,793
Hurricane_Ike,2011,3,Overall Progress Narrative,1,47,1278
Hurricane_Ike,2011,3,Obligation Date,1,2,26
Hurricane_Ike,2011,3,Multi-family Rehabilitation Program,1,3,282
Hurricane_Ike,2011,3,Mauve Outfall Ditch,1,8,587
Hurricane_Ike,2011,3,Location,1,1,9
Hurricane_Ike,2011,3,Lee Avenue,1,5,310
Hurricane_Ike,2011,3,Kansas Avenue,1,5,318
Hurricane_Ike,2011,3,Grantee Shall Perform Drainage Improvements At The Following Locations,1,3,87
Hurricane_Ike,2011,3,Grantee Name,1,2,33
Hurricane_Ike,2011,3,Grantee,1,6,113
Hurricane_Ike,2011,3,Grant Status,1,32,479
Hurricane_Ike,2011,3,Grant Amount,1,2,30
Hurricane_Ike,2011,3,Grant,1,2,26
Hurricane_Ike,2011,3,Golf Course Pump Station,1,22,1925
Hurricane_Ike,2011,3,GENERAL STATEMENT,1,12,1210
Hurricane_Ike,2011,3,From,1,1,5
Hurricane_Ike,2011,3,Fire Station #1 & #2,1,8,470
Hurricane_Ike,2011,3,Estimated PI/RL Funds,1,2,31
Hurricane_Ike,2011,3,El Jardin Subdivision (Charles Ditch),1,4,306
Hurricane_Ike,2011,3,El Cary Subdivision,1,18,1681
Hurricane_Ike,2011,3,Document,1,2,70
Hurricane_Ike,2011,3,Distinct Improvement Phases,1,12,864
Hurricane_Ike,2011,3,Disasters,1,4,56
Hurricane_Ike,2011,3,Disaster Damage,1,12,1495
Hurricane_Ike,2011,3,Contractor Shall Make The Following Water System Improvements Throughout The City,1,5,473
Hurricane_Ike,2011,3,Contract End Date,1,2,39
Hurricane_Ike,2011,3,Code Enforcement,1,23,760
Hurricane_Ike,2011,3,Award Date,1,1,11
Hurricane_Ike,2011,3,Additional Project Detail,1,34,2324
Hurricane_Ike,2011,3,ACTIVITY,1,1,8
Hurricane_Ike,2011,3,>Single Family Housing Activities,1,18,1705
Hurricane_Ike,2011,3,>NON-HOUSING,1,24,1997
